,Show0,Show1,Show2,Show3,Card0,Card1,Card2,Card3,Card4,H/S,W/L,Answer,Final,P_Score,D_Score
0,KC,,,,7D,8H,,,,1.0,0.0,0.0,0.0,14,23
1,7S,,,,5C,AH,,,,1.0,1.0,1.0,0.0,14,16
2,7S,,,,5C,AH,KH,,,0.0,1.0,0.0,1.0,14,16
3,8C,,,,3S,9C,,,,1.0,0.0,1.0,0.0,18,18
4,8C,,,,3S,9C,6H,,,0.0,0.0,1.0,1.0,18,18
5,10S,,,,QS,6D,,,,0.0,0.0,1.0,1.0,18,16
6,7S,,,,8D,4H,,,,1.0,0.0,1.0,0.0,17,13
7,7S,,,,8D,4H,AC,,,1.0,0.0,1.0,0.0,17,15
8,7S,,,,8D,4H,AC,2C,,1.0,0.0,0.0,0.0,17,25
9,10S,,,,2S,4C,,,,1.0,0.0,1.0,0.0,20,10
10,10S,,,,2S,4C,4D,,,1.0,0.0,1.0,0.0,20,19
11,10S,,,,2S,4C,4D,9D,,0.0,0.0,1.0,1.0,20,19
12,5C,KH,,,5H,KD,,,,1.0,0.0,0.0,0.0,19,25
13,6S,,,,QH,7C,,,,0.0,1.0,0.0,1.0,16,17
14,KC,,,,2C,QH,,,,1.0,0.0,0.0,0.0,19,22
15,4S,2H,,,KC,JS,,,,0.0,1.0,0.0,1.0,16,20
16,AC,,,,8S,7S,,,,1.0,1.0,1.0,0.0,9,20
17,AC,,,,8S,7S,5H,,,0.0,1.0,0.0,1.0,9,20
18,8D,,,,KS,9C,,,,0.0,1.0,0.0,1.0,18,19
19,4H,2H,5C,,2S,7C,,,,1.0,1.0,1.0,0.0,16,19
20,4H,2H,5C,,2S,7C,KC,,,0.0,1.0,0.0,1.0,16,19
21,5D,4C,2C,,10H,6D,,,,0.0,1.0,0.0,1.0,14,16
22,QD,2C,,,3D,10C,,,,1.0,0.0,0.0,0.0,15,23
23,10H,2H,3D,,KD,QC,,,,0.0,1.0,0.0,1.0,17,20
24,AH,2C,JS,,7C,QC,,,,0.0,1.0,0.0,1.0,15,17
25,KD,,,,3H,9H,,,,1.0,0.0,0.0,0.0,20,22
26,QH,,,,6H,10S,,,,0.0,0.0,1.0,1.0,19,16
27,KH,,,,4S,5H,,,,1.0,0.0,1.0,0.0,20,13
28,KH,,,,4S,5H,4C,,,1.0,0.0,1.0,0.0,20,16
29,KH,,,,4S,5H,4C,3H,,0.0,0.0,1.0,1.0,20,16
30,6H,KS,,,QS,5S,,,,1.0,1.0,1.0,0.0,19,20
31,6H,KS,,,QS,5S,5H,,,0.0,1.0,0.0,1.0,19,20
32,9D,5H,,,8S,KD,,,,0.0,0.0,1.0,1.0,19,18
33,10H,,,,KD,9H,,,,0.0,0.0,1.0,1.0,20,19
34,2H,7D,7H,,5C,QH,,,,1.0,1.0,1.0,0.0,20,21
35,6C,JH,,,9C,QH,,,,0.0,0.0,1.0,1.0,20,19
36,QH,,,,QC,8S,,,,0.0,1.0,0.0,1.0,17,18
37,AH,9S,,,QS,6D,,,,1.0,0.0,0.0,0.0,14,23
38,QS,4S,,,7S,10H,,,,0.0,0.0,1.0,1.0,20,17
39,7D,,,,10C,4H,,,,1.0,1.0,1.0,0.0,8,21
40,9S,4C,,,JH,9C,,,,0.0,0.0,1.0,1.0,20,19
41,QS,,,,3H,2C,,,,1.0,0.0,1.0,0.0,20,15
42,QS,,,,3H,2C,10S,,,0.0,0.0,1.0,1.0,20,15
43,5S,6H,3C,,KS,7S,,,,0.0,1.0,0.0,1.0,15,17
44,AH,,,,2H,KC,,,,1.0,0.0,1.0,0.0,9,18
45,AH,,,,2H,KC,6D,,,0.0,0.0,1.0,1.0,9,18
46,3D,8C,,,KD,JH,,,,0.0,1.0,0.0,1.0,17,20
47,QH,,,,2C,7H,,,,1.0,0.0,1.0,0.0,18,13
48,QH,,,,2C,7H,4C,,,1.0,0.0,1.0,0.0,18,16
49,QH,,,,2C,7H,4C,3S,,0.0,0.0,1.0,1.0,18,16
50,QS,6C,,,6H,5C,,,,1.0,0.0,1.0,0.0,20,17
51,QS,6C,,,6H,5C,6D,,,0.0,0.0,1.0,1.0,20,17
52,5H,9C,,,6H,5S,,,,1.0,1.0,1.0,0.0,17,21
53,10C,,,,4D,QC,,,,1.0,0.0,1.0,0.0,20,15
54,10C,,,,4D,QC,AD,,,0.0,0.0,1.0,1.0,20,15
55,5S,,,,2H,AC,,,,1.0,0.0,1.0,0.0,15,13
56,5S,,,,2H,AC,KD,,,1.0,0.0,0.0,0.0,15,23
57,9H,,,,7D,JD,,,,0.0,0.0,1.0,1.0,19,17
58,6S,,,,AS,2D,,,,1.0,0.0,1.0,0.0,16,6
59,6S,,,,AS,2D,3H,,,1.0,0.0,1.0,0.0,16,15
60,6S,,,,AS,2D,3H,9H,,0.0,0.0,1.0,1.0,16,15
61,5D,,,,3D,8C,,,,1.0,1.0,1.0,0.0,15,16
62,5D,,,,3D,8C,5H,,,0.0,1.0,0.0,1.0,15,16
63,4C,9H,,,KS,QD,,,,0.0,1.0,0.0,1.0,18,20
64,QC,,,,KS,7H,,,,0.0,1.0,0.0,1.0,16,17
65,AD,KS,4S,,2D,KH,,,,1.0,1.0,1.0,0.0,16,17
66,AD,KS,4S,,2D,KH,5C,,,0.0,1.0,0.0,1.0,16,17
67,2C,8H,,,10H,7H,,,,0.0,1.0,0.0,1.0,16,17
68,9C,,,,QD,2H,,,,1.0,0.0,1.0,0.0,19,17
69,9C,,,,QD,2H,5C,,,0.0,0.0,1.0,1.0,19,17
