,Show0,Show1,Show2,Show3,Show4,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
0,5S,,,,,5H,6S,,,,,1.0,1.0,1.0,0.0,9,14
1,5S,,,,,5H,6S,3C,,,,1.0,1.0,1.0,0.0,9,19
2,5S,,,,,5H,6S,3C,5D,,,0.0,1.0,0.0,1.0,9,19
3,3S,2H,,,,4D,QD,,,,,0.0,1.0,0.0,1.0,12,14
4,2H,6S,,,,7C,KC,,,,,0.0,1.0,0.0,1.0,16,17
5,4H,,,,,9S,10D,,,,,0.0,1.0,0.0,1.0,10,19
6,7C,,,,,2H,JC,,,,,1.0,1.0,1.0,0.0,12,13
7,7C,,,,,2H,JC,AS,,,,1.0,1.0,1.0,0.0,12,19
8,7C,,,,,2H,JC,AS,6S,,,0.0,1.0,0.0,1.0,12,19
9,KH,,,,,JS,3D,,,,,1.0,0.0,0.0,0.0,18,16
10,KH,,,,,JS,3D,3H,,,,0.0,0.0,1.0,1.0,18,16
11,6S,,,,,JC,2C,,,,,1.0,1.0,1.0,0.0,9,14
12,6S,,,,,JC,2C,2D,,,,0.0,1.0,0.0,1.0,9,14
13,2D,,,,,QC,JS,,,,,0.0,1.0,0.0,1.0,12,20
14,3H,,,,,6S,AS,,,,,1.0,1.0,1.0,0.0,8,17
15,3H,,,,,6S,AS,KH,,,,0.0,1.0,0.0,1.0,8,17
16,8S,,,,,7C,3H,,,,,1.0,1.0,1.0,0.0,17,20
17,8S,,,,,7C,3H,10C,,,,0.0,1.0,0.0,1.0,17,20
18,4D,3C,,,,8H,3D,,,,,1.0,1.0,1.0,0.0,10,12
19,4D,3C,,,,8H,3D,AS,,,,0.0,1.0,0.0,1.0,10,12
20,10S,,,,,AC,AS,,,,,1.0,0.0,0.0,0.0,18,7
21,10S,,,,,AC,AS,5C,,,,1.0,0.0,0.0,0.0,18,15
22,10S,,,,,AC,AS,5C,8C,,,1.0,0.0,0.0,0.0,18,22
23,2D,7D,,,,JD,8S,,,,,0.0,1.0,0.0,1.0,13,18
24,6C,,,,,5C,6S,,,,,1.0,1.0,1.0,0.0,16,17
25,6C,,,,,5C,6S,6D,,,,0.0,1.0,0.0,1.0,16,17
26,AH,QD,8H,,,2C,6H,,,,,1.0,0.0,0.0,0.0,20,14
27,AH,QD,8H,,,2C,6H,6C,,,,1.0,0.0,0.0,0.0,20,18
28,AH,QD,8H,,,2C,6H,6C,4D,,,1.0,0.0,0.0,0.0,20,24
29,6S,,,,,5H,JD,,,,,1.0,0.0,0.0,0.0,16,25
30,QS,,,,,7C,5D,,,,,1.0,1.0,1.0,0.0,15,20
31,QS,,,,,7C,5D,8C,,,,0.0,1.0,0.0,1.0,15,20
32,JD,,,,,5C,3S,,,,,1.0,0.0,0.0,0.0,19,16
33,JD,,,,,5C,3S,8C,,,,1.0,0.0,0.0,0.0,19,23
34,3C,,,,,7S,5H,,,,,1.0,0.0,0.0,0.0,5,22
35,3C,,,,,7D,JD,,,,,0.0,1.0,0.0,1.0,13,17
36,7H,,,,,JD,6S,,,,,1.0,0.0,0.0,0.0,17,22
37,3S,,,,,QS,7C,,,,,0.0,1.0,0.0,1.0,11,17
38,2H,,,,,7D,10S,,,,,0.0,1.0,0.0,1.0,12,17
39,6C,,,,,6H,2D,,,,,1.0,0.0,0.0,0.0,10,10
40,6C,,,,,6H,2D,2S,,,,1.0,1.0,1.0,0.0,10,11
41,6C,,,,,6H,2D,2S,AS,,,0.0,1.0,0.0,1.0,10,11
42,QH,,,,,QS,7C,,,,,0.0,0.0,1.0,1.0,18,17
43,6S,,,,,QD,KS,,,,,0.0,1.0,0.0,1.0,15,20
44,7H,,,,,4C,6C,,,,,1.0,1.0,1.0,0.0,9,11
45,7H,,,,,4C,6C,AS,,,,0.0,1.0,0.0,1.0,9,11
46,3D,,,,,AC,10H,,,,,0.0,1.0,0.0,1.0,9,11
47,3H,,,,,9D,KH,,,,,0.0,1.0,0.0,1.0,5,19
48,10C,,,,,5C,4C,,,,,1.0,0.0,0.0,0.0,20,15
49,10C,,,,,5C,4C,6D,,,,0.0,0.0,1.0,1.0,20,15
50,3D,,,,,5C,4H,,,,,1.0,1.0,1.0,0.0,4,18
51,3D,,,,,5C,4H,9D,,,,0.0,1.0,0.0,1.0,4,18
52,JD,,,,,2H,10H,,,,,1.0,0.0,0.0,0.0,14,22
53,6H,,,,,7D,10S,,,,,0.0,1.0,0.0,1.0,16,17
54,10C,,,,,5S,3H,,,,,0.0,0.0,1.0,1.0,16,8
55,QD,,,,,3S,9S,,,,,1.0,1.0,1.0,0.0,12,20
56,QD,,,,,3S,9S,8C,,,,0.0,1.0,0.0,1.0,12,20
